MCS,ChannelWidth,GuardInterval,ThroughputMbps,PacketLoss
0,20,3200,26.8558,979475
0,40,3200,26.8153,979506
0,80,3200,26.8192,979503
0,160,3200,26.8061,979513
0,20,1600,26.8375,979489
0,40,1600,26.8375,979489
0,80,1600,26.8519,979478
0,160,1600,26.793,979523
0,20,800,26.8414,979486
0,40,800,26.7825,979531
0,80,800,26.8297,979495
0,160,800,26.8126,979508
1,20,3200,54.1003,958653
1,40,3200,53.972,958751
1,80,3200,53.989,958738
1,160,3200,53.9733,958750
1,20,1600,54.0335,958704
1,40,1600,54.0296,958707
1,80,1600,54.0204,958714
1,160,1600,54.044,958696
1,20,800,54.0178,958716
1,40,800,54.061,958683
1,80,800,53.9354,958779
1,160,800,53.9812,958744
2,20,3200,81.0437,938061
2,40,3200,81.0267,938074
2,80,3200,80.9849,938106
2,160,3200,81.0293,938072
2,20,1600,80.9731,938115
2,40,1600,80.9574,938127
2,80,1600,81.028,938073
2,160,1600,81.0163,938082
2,20,800,81.045,938060
2,40,800,80.8893,938179
2,80,800,81.0529,938054
2,160,800,80.9927,938100
3,20,3200,107.446,917883
3,40,3200,107.334,917968
3,80,3200,107.417,917905
3,160,3200,107.435,917891
3,20,1600,107.512,917832
3,40,1600,107.257,918027
3,80,1600,107.415,917906
3,160,1600,107.35,917956
3,20,800,107.472,917863
3,40,800,107.376,917936
3,80,800,107.493,917847
3,160,800,107.315,917983
4,20,3200,117.659,910077
4,40,3200,117.636,910095
4,80,3200,117.697,910048
4,160,3200,117.658,910078
4,20,1600,117.638,910093
4,40,1600,117.708,910040
4,80,1600,117.624,910104
4,160,1600,117.657,910079
4,20,800,117.721,910030
4,40,800,117.619,910108
4,80,800,117.672,910067
4,160,800,117.723,910028
5,20,3200,117.617,910109
5,40,3200,117.651,910083
5,80,3200,117.679,910062
5,160,3200,117.674,910066
5,20,1600,117.729,910024
5,40,1600,117.688,910055
5,80,1600,117.65,910084
5,160,1600,117.716,910034
5,20,800,117.699,910047
5,40,800,117.65,910084
5,80,800,117.638,910093
5,160,800,117.713,910036
6,20,3200,117.663,910074
6,40,3200,117.716,910034
6,80,3200,117.692,910052
6,160,3200,117.705,910042
6,20,1600,117.637,910094
6,40,1600,117.64,910092
6,80,1600,117.742,910014
6,160,1600,117.65,910084
6,20,800,117.689,910054
6,40,800,117.722,910029
6,80,800,117.687,910056
6,160,800,117.666,910072
7,20,3200,117.658,910078
7,40,3200,117.661,910076
7,80,3200,117.663,910074
7,160,3200,117.738,910017
7,20,1600,117.716,910034
7,40,1600,117.651,910083
7,80,1600,117.64,910092
7,160,1600,117.651,910083
7,20,800,117.659,910077
7,40,800,117.653,910082
7,80,800,117.716,910034
7,160,800,117.619,910108
8,20,3200,117.693,910051
8,40,3200,117.666,910072
8,80,3200,117.702,910044
8,160,3200,117.64,910092
8,20,1600,117.691,910053
8,40,1600,117.738,910017
8,80,1600,117.651,910083
8,160,1600,117.651,910083
8,20,800,117.744,910012
8,40,800,117.653,910082
8,80,800,117.704,910043
8,160,800,117.675,910065
9,20,3200,117.625,910103
9,40,3200,117.638,910093
9,80,3200,117.636,910095
9,160,3200,117.649,910085
9,20,1600,117.653,910082
9,40,1600,117.744,910012
9,80,1600,117.624,910104
9,160,1600,117.742,910014
9,20,800,117.649,910085
9,40,800,117.716,910034
9,80,800,117.704,910043
9,160,800,117.733,910021
10,20,3200,117.743,910013
10,40,3200,117.664,910073
10,80,3200,117.705,910042
10,160,3200,117.621,910106
10,20,1600,117.729,910024
10,40,1600,117.623,910105
10,80,1600,117.702,910044
10,160,1600,117.663,910074
10,20,800,117.638,910093
10,40,800,117.742,910014
10,80,800,117.708,910040
10,160,800,117.725,910027
11,20,3200,117.637,910094
11,40,3200,117.64,910092
11,80,3200,117.64,910092
11,160,3200,117.666,910072
11,20,1600,117.623,910105
11,40,1600,117.691,910053
11,80,1600,117.641,910091
11,160,1600,117.627,910102
11,20,800,117.678,910063
11,40,800,117.638,910093
11,80,800,117.731,910022
11,160,800,117.705,910042
